[2026-02-15 20:01:25] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115629TN.pdf  
[2026-02-15 20:01:25] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115630TN.pdf  
[2026-02-15 20:01:26] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115631TN.pdf  
[2026-02-15 20:01:26] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115632TN.pdf  
[2026-02-15 20:01:26] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115633TN.pdf  
[2026-02-15 20:01:26] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115634TN.pdf  
[2026-02-15 20:01:26] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115635TN.pdf  
[2026-02-15 20:01:27] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115636TN.pdf  
[2026-02-15 20:01:27] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115637TN.pdf  
[2026-02-15 20:01:27] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115638TN.pdf  
[2026-02-15 20:01:27] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115639TN.pdf  
[2026-02-15 20:01:27] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115640TN.pdf  
[2026-02-15 20:01:27] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115641TN.pdf  
[2026-02-15 20:01:28] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115642TN.pdf  
[2026-02-15 20:01:28] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115643TN.pdf  
[2026-02-15 20:01:28] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025763.pdf  
[2026-02-15 20:01:28] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025764.pdf  
[2026-02-15 20:01:29] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025765.pdf  
[2026-02-15 20:01:29] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025766.pdf  
[2026-02-15 20:01:29] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025767.pdf  
[2026-02-15 20:01:29] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025768.pdf  
[2026-02-15 20:01:29] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025769.pdf  
[2026-02-15 20:01:29] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025770.pdf  
[2026-02-15 20:01:30] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025771.pdf  
[2026-02-15 20:01:30] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025772.pdf  
[2026-02-15 20:01:30] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025773.pdf  
[2026-02-15 20:01:30] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025774.pdf  
[2026-02-15 20:01:30] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025775.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025776.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025777.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025778.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025779.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025780.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025781.pdf  
[2026-02-15 20:01:31] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025782.pdf  
[2026-02-15 20:01:32] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025783.pdf  
